Position X,Position Y,Position Z,Rotation X
-1.450489,0.7347348,-1.076292,77.9848
-1.450805,0.735183,-1.07615,78.03873
-1.450902,0.7352338,-1.07619,78.0514
-1.451034,0.7346842,-1.076162,78.02556
-1.450734,0.7347507,-1.076296,78.00985
-1.450815,0.7350979,-1.076242,77.98717
-1.450919,0.7349136,-1.07641,77.96828
-1.4509,0.73455,-1.076431,77.93282
-1.450719,0.7348251,-1.076384,77.93539
-1.450837,0.7349117,-1.076326,77.93522
-1.450736,0.7347755,-1.07633,77.93672
-1.450691,0.7347391,-1.076296,77.96041
-1.45062,0.7348692,-1.076325,77.97034
-1.450747,0.7345974,-1.07631,77.93862
-1.450691,0.7348397,-1.076304,77.89541
-1.450828,0.7350302,-1.076295,77.90845
-1.450976,0.7344589,-1.076219,77.89548
-1.450999,0.7344136,-1.076206,77.88222
-1.451004,0.7350628,-1.076079,77.8695
-1.451037,0.7349303,-1.076132,77.87083
-1.450916,0.7343762,-1.076315,77.85007
-1.45092,0.7343488,-1.076338,77.84443
-1.450927,0.7343066,-1.076309,77.82127
-1.450927,0.7343066,-1.076309,77.82127
-1.450696,0.7345195,-1.076359,77.78078
-1.451091,0.7352352,-1.076174,77.79303
-1.45109,0.7349803,-1.076307,77.79948
-1.451286,0.7344003,-1.076221,77.7766
-1.450895,0.7342803,-1.076354,77.76971
-1.451146,0.7348747,-1.076219,77.78301
-1.451134,0.7347231,-1.076254,77.75859
-1.450985,0.7341454,-1.076357,77.73618
-1.45097,0.7341962,-1.07631,77.73262
-1.451086,0.7344623,-1.076381,77.71749
-1.45126,0.7343314,-1.07631,77.70829
-1.451064,0.7341809,-1.076234,77.71167
-1.451014,0.7342196,-1.076148,77.70616
-1.451381,0.7344272,-1.076236,77.71119
-1.451382,0.7345085,-1.07618,77.70995
-1.451056,0.7340329,-1.076284,77.67107
-1.45125,0.7344153,-1.076355,77.68211
-1.45132,0.7346673,-1.076341,77.69531
-1.451163,0.7341771,-1.076324,77.68517
-1.451167,0.7343149,-1.076548,77.67607
-1.451167,0.7343149,-1.076548,77.67607
-1.451455,0.7348464,-1.076287,77.64488
-1.451508,0.7340612,-1.076231,77.62339
-1.451231,0.7343926,-1.076301,77.58961
-1.451458,0.7346194,-1.076209,77.60885
-1.451288,0.7341022,-1.076122,77.60284
-1.451272,0.7339165,-1.076199,77.59539
-1.45116,0.7342663,-1.076258,77.59888
-1.451375,0.734498,-1.076214,77.60581
-1.45122,0.7339516,-1.076312,77.60741
-1.451085,0.7342026,-1.07637,77.6121
-1.451379,0.7343957,-1.076309,77.61011
-1.451364,0.7344239,-1.076312,77.61537
-1.451314,0.7344961,-1.076309,77.62437
-1.451292,0.7345405,-1.076308,77.63384
-1.451407,0.7345257,-1.076387,77.65593
-1.451268,0.7345259,-1.076405,77.64184
-1.451235,0.7351077,-1.076587,77.63099
-1.451589,0.7353048,-1.076771,77.58887
-1.451512,0.7363615,-1.077152,77.4991
-1.451551,0.7373366,-1.077422,77.47758
-1.451756,0.7399378,-1.077997,77.283
-1.452385,0.7416036,-1.07856,76.82483
-1.453225,0.7462931,-1.079333,75.66666
-1.453712,0.749366,-1.079554,75.07555
-1.4549,0.7542646,-1.079982,74.40916
-1.455747,0.7576299,-1.079916,74.46655
-1.456931,0.7647437,-1.079606,74.09008
-1.457862,0.7687116,-1.078909,73.8135
-1.458963,0.7717639,-1.078544,73.47974
-1.460842,0.7808218,-1.077313,72.6525
-1.462409,0.7855288,-1.076312,72.23994
-1.46655,0.796641,-1.073376,71.20691
-1.468335,0.8011746,-1.071444,70.53481
-1.472291,0.8146945,-1.066957,69.2696
-1.474881,0.8219163,-1.064426,68.65701
-1.480052,0.8357416,-1.05822,67.24734
-1.482876,0.8433713,-1.054585,66.51529
-1.488445,0.8596025,-1.047113,65.28586
-1.491531,0.8674185,-1.042587,64.7777
-1.498149,0.8821008,-1.033137,63.96598
-1.501544,0.8899565,-1.02832,63.54317
-1.509596,0.9057794,-1.017162,62.77822
-1.51353,0.9135464,-1.011473,62.42803
-1.522064,0.9288602,-0.9992562,62.09137
-1.526441,0.9365169,-0.9927551,62.01062
-1.535436,0.9523677,-0.9794235,61.91222
-1.535436,0.9523677,-0.9794235,61.91222
-1.544478,0.9671795,-0.9656144,62.03018
-1.553404,0.9811909,-0.95153,62.34645
-1.562543,0.9939536,-0.9371711,62.94022
-1.572029,1.005907,-0.9234561,63.73497
-1.576394,1.011809,-0.9169348,64.16335
-1.584749,1.023675,-0.903764,65.15256
-1.589018,1.028966,-0.897573,65.63445
-1.597238,1.037781,-0.8859317,66.67424
-1.60108,1.042133,-0.8806288,67.22192
-1.608212,1.050231,-0.8687908,68.32009
-1.61204,1.053015,-0.864448,68.9302
-1.619111,1.058656,-0.8561003,70.28574
-1.621993,1.061673,-0.8515632,70.95612
-1.628281,1.065653,-0.8438196,72.44146
-1.631371,1.066484,-0.8407518,73.33378
-1.636921,1.069549,-0.8334281,74.84087
-1.639446,1.070345,-0.8302405,75.56544
-1.644647,1.07075,-0.8245872,76.84363
-1.646982,1.071713,-0.8215034,77.46929
-1.651502,1.071888,-0.8175883,78.47995
-1.653871,1.07201,-0.8149776,79.08911
-1.657736,1.07118,-0.8105171,80.09531
-1.659371,1.071383,-0.8078769,80.64428
-1.66229,1.070567,-0.8045076,81.55636
-1.663628,1.070071,-0.8028152,81.939
-1.666469,1.068719,-0.7994732,82.96491
-1.667793,1.06802,-0.7983167,83.60797
-1.669547,1.066263,-0.795377,84.58826
-1.670004,1.065682,-0.7942719,85.06366
-1.669919,1.065183,-0.7933812,85.57552
-1.671125,1.063711,-0.7921735,86.36773
-1.671571,1.063123,-0.7913892,86.66428
-1.671939,1.061064,-0.7894564,87.13754
-1.671965,1.060251,-0.788963,87.33788
-1.6719,1.05882,-0.7888969,87.63066
-1.672842,1.058214,-0.7882732,87.74909
-1.673571,1.056894,-0.7880943,87.89448
-1.672778,1.056159,-0.7883291,88.03079
-1.673595,1.054862,-0.7879192,88.27082
-1.673726,1.054276,-0.7879055,88.33095
-1.673353,1.053141,-0.7882322,88.27479
-1.673589,1.052866,-0.7883146,88.2824
-1.674047,1.052483,-0.7882109,88.51417
-1.674213,1.052349,-0.7881809,88.64376
-1.674297,1.052111,-0.7882274,88.62101
-1.674275,1.052214,-0.7880359,88.57646
-1.673909,1.052436,-0.7881126,88.36997
-1.673083,1.052653,-0.7887102,88.21118
-1.673006,1.05367,-0.7885214,88.05097
-1.672866,1.053974,-0.7887555,88.00169
-1.671801,1.054273,-0.7900695,87.57674
-1.671126,1.054645,-0.7904974,87.23112
-1.669801,1.055447,-0.7911178,86.43564
-1.669329,1.055756,-0.7919719,85.94537
-1.667367,1.056147,-0.7942642,84.74842
-1.666503,1.056391,-0.7954552,84.12751
-1.664789,1.057038,-0.7978287,82.68198
-1.663224,1.056873,-0.8002399,81.6861
-1.659643,1.057316,-0.8039688,79.8141
-1.657763,1.057791,-0.8059619,78.72729
-1.65284,1.057492,-0.8121009,76.45697
-1.650285,1.057289,-0.8147975,75.35759
-1.645702,1.056444,-0.8212153,73.12733
-1.642995,1.056077,-0.8248443,72.00629
-1.636355,1.055246,-0.833083,69.5877
-1.633014,1.055096,-0.8366261,68.33837
-1.625937,1.053583,-0.8454196,65.90434
-1.621867,1.05254,-0.8497251,64.72499
-1.613196,1.05101,-0.8589283,62.27945
-1.609049,1.050196,-0.8637782,61.13113
-1.600414,1.047167,-0.8736475,58.85612
-1.595659,1.046276,-0.8784916,57.69289
-1.586648,1.04403,-0.8889492,55.34686
-1.58231,1.04297,-0.894519,54.17835
-1.57278,1.03838,-0.9061829,52.39146
-1.568276,1.036812,-0.9114698,51.48877
-1.5588,1.03345,-0.9229407,49.76462
-1.549565,1.027772,-0.9337389,47.97545
-1.549565,1.027772,-0.9337389,47.97545
-1.535595,1.021361,-0.951371,45.98343
-1.531405,1.018653,-0.9569772,45.53293
-1.52345,1.011146,-0.9676026,44.57225
-1.518946,1.00847,-0.9733536,44.16867
-1.510785,1.001774,-0.983986,43.55429
-1.506491,0.996962,-0.9895289,43.259
-1.499158,0.9878025,-0.9998897,42.89532
-1.49542,0.9842135,-1.005439,42.78015
-1.488601,0.9760095,-1.015374,42.64537
-1.485404,0.9705197,-1.019993,42.61261
-1.479157,0.9605572,-1.028549,43.11176
-1.475983,0.9560883,-1.032833,43.37173
-1.470304,0.9464698,-1.040147,44.01427
-1.467622,0.9411004,-1.043613,44.42674
-1.461807,0.9306918,-1.051024,45.68469
-1.459404,0.9254851,-1.053962,46.43285
-1.455879,0.9150165,-1.058098,47.87474
-1.453842,0.9098551,-1.060481,48.68387
-1.448722,0.899768,-1.066144,50.4808
-1.447099,0.8943963,-1.067504,51.67688
-1.443929,0.8833411,-1.070462,53.85461
-1.442006,0.8778538,-1.072041,54.94267
-1.43814,0.8668662,-1.074902,57.05836
-1.4363,0.8615789,-1.076415,58.21313
-1.432895,0.8514962,-1.079743,60.62376
-1.431691,0.846385,-1.080708,61.87294
-1.429735,0.8360711,-1.081941,64.10275
-1.428727,0.8306087,-1.083117,65.01709
-1.426568,0.8218558,-1.08437,66.61887
-1.424913,0.8176869,-1.085825,67.49277
-1.42299,0.808062,-1.08605,69.60126
-1.422647,0.8042759,-1.086165,70.71384
-1.421245,0.7961843,-1.087375,72.63036
-1.420992,0.7923884,-1.087716,73.16141
-1.420506,0.7851061,-1.087951,73.9349
-1.420395,0.7825922,-1.088164,74.39833
-1.420733,0.7777027,-1.088512,75.18534
-1.420759,0.7749791,-1.088767,75.64698
-1.421869,0.7702702,-1.088779,76.42085
-1.422163,0.7684169,-1.089008,76.52554
-1.423256,0.7641736,-1.088757,76.67319
-1.423811,0.7614129,-1.088553,76.76222
-1.425648,0.7579181,-1.088154,77.05756
-1.426299,0.7571989,-1.087939,77.23661
-1.42777,0.7530541,-1.087356,77.3252
-1.428556,0.7511622,-1.086947,77.12345
-1.429995,0.7478467,-1.086096,76.69352
-1.431287,0.7466922,-1.085398,76.63845
-1.432965,0.7431071,-1.084864,76.77552
-1.433559,0.7427747,-1.084582,77.06128
-1.435276,0.7417543,-1.083918,77.94305
-1.43625,0.7409215,-1.083648,78.20818
-1.438052,0.7416348,-1.083268,77.16548
-1.43906,0.7423654,-1.083236,75.65115
-1.440588,0.7431464,-1.082848,74.51563
-1.440876,0.7428906,-1.082666,74.66905
-1.440816,0.7431283,-1.082395,75.08746
-1.440753,0.7430377,-1.082366,75.31444
-1.440879,0.7428102,-1.082377,75.43649
-1.440956,0.7426426,-1.082493,75.4276
-1.440942,0.7428682,-1.082865,75.17392
-1.441149,0.7427104,-1.083047,75.14001
-1.440765,0.7428961,-1.083284,75.20058
-1.44067,0.7428846,-1.083305,75.30869
-1.44027,0.7428906,-1.083373,75.43188
-1.440702,0.7425857,-1.083258,75.39568
-1.440708,0.7430601,-1.083376,75.19406
-1.441097,0.7431567,-1.08315,75.05815
-1.441445,0.7429678,-1.083062,74.91125
-1.441659,0.7428238,-1.083038,74.85181
-1.442079,0.7426317,-1.083102,74.71769
-1.441996,0.7430992,-1.08346,74.62336
-1.442025,0.7426641,-1.083852,74.26949
-1.441834,0.7428753,-1.083544,74.06912
-1.442376,0.7427945,-1.083573,73.94386
-1.442741,0.7417321,-1.083629,73.7701
-1.442843,0.7415123,-1.083585,73.75184
-1.442761,0.7414703,-1.083559,73.78799
-1.44314,0.7415173,-1.083554,73.87444
-1.443171,0.7407281,-1.08341,73.8917
-1.442906,0.740761,-1.083452,73.89396
